EIN,OrgName,State,City,ZIP,TaxYear,TaxPeriodEnd,FormType,FormationYr,Mission,Employees,Volunteers,GrossReceipts,TotalRevenueCY,TotalRevenuePY,ContributionsGrantsCY,ContributionsGrantsPY,ProgramServiceRevCY,ProgramServiceRevPY,InvestmentIncomeCY,OtherRevenueCY,GovernmentGrantsAmt,TotalExpensesCY,TotalExpensesPY,SalariesCY,FundraisingExpCY,ProgramSvcExpenses,NetRevenueCY,NetRevenuePY,TotalAssetsEOY,TotalAssetsBOY,TotalLiabilitiesEOY,TotalLiabilitiesBOY,NetAssetsEOY,NetAssetsBOY,SourceFile,NTEE_CD
020223338,PINKERTON ACADEMY,NH,DERRY,03038,2018,2019-06-30,990,1814,"AS A UNIQUE, INDEPENDENT HIGH SCHOOL ACADEMY, PINKERTON ACADEMY'S MISSION IS TO STRIVE TO ENSURE THE GROWTH OF ALL STUDENTS IN A CHALLENGING, RESPECTFUL, AND COLLABORATIVE ENVIRONMENT. THE ACADEMY FOSTERS A STUDENT-CENTERED COMMUNITY WITH PURPOSEFULLY DESIGNED, INTERACTIVE AND RELEVANT LEARNING OPPORTUNITIES. PINKERTON ACADEMY STUDENTS GAIN THE CRITICAL KNOWLEDGE, SKILLS, AND DEEPER UNDERSTANDING NECESSARY TO DEVELOP GOALS, BECOME THINKERS AND COMMUNICATORS, AND GROW AS RESPONSIBLE AND PRODUCTIVE CITIZENS. WHILE CELEBRATING THE STRENGTHS OF OUR TRADITIONS, WE ENCOURAGE INNOVATION IN RESPONSE TO A CHANGING WORLD.",712.0,84.0,54916924.0,50386819.0,49055860.0,926928.0,345923.0,48882605.0,42680150.0,530624.0,46662.0,347064.0,46942408.0,47041226.0,36212131.0,468215.0,44784107.0,3444411.0,2014634.0,81672383.0,79449227.0,36741028.0,38564784.0,44931355.0,40884443.0,202000069349300510_public.xml,B250
391840231,CHIPPEWA VALLEY HEALTH CLINIC INC,WI,EAU CLAIRE,54701,2018,2019-06-30,990,1996,"PROVIDE HEALTH RELATED, SOCIAL SERVICE NEEDS AND HEALTH EDUCATION TO PERSONS IN FINANCIAL NEED.",16.0,198.0,1274509.0,1247844.0,827297.0,1213762.0,808149.0,0.0,0.0,-5004.0,39086.0,18165.0,666434.0,728747.0,292598.0,28529.0,575568.0,581410.0,98550.0,1726971.0,1056993.0,105643.0,22648.0,1621328.0,1034345.0,202000069349300515_public.xml,E32
362663577,ROLLING HILLS PROGRESS CENTER INC,IL,LANARK,61046,2018,2019-06-30,990,1976,"TO PROVIDE VOCATIONAL AND ACTIVITY SERVICES TO CARROLL COUNTY RESIDENTS WITH DEVELOPMENTAL DISABILITIES, MENTAL ILLNESS, AND PHYSICAL DISABILITIES. THE ULTIMATE GOAL IS TO PROVIDE THE OPPORTUNITY FOR GROWTH AND DEVELOPMENT OF VOCATIONAL SKILLS THROUGH REMUNERATIVE EMPLOYMENT AS WELL AS INCREASED FUNCTIONING IN THE AREAS OF INDEPENDENT LIVING AND FUNCTIONAL ACADEMIC, SOCIAL, AND RECREATIONAL SKILLS.",227.0,7.0,3630692.0,3619181.0,3605436.0,441958.0,132786.0,3173826.0,3462154.0,98.0,3299.0,121200.0,3324336.0,3803601.0,1635386.0,0.0,2754619.0,294845.0,-198165.0,1702167.0,1451328.0,354531.0,398537.0,1347636.0,1052791.0,202000069349300520_public.xml,P80Z
310942184,WIRT COUNTY HEALTH SERVICES,WV,ELIZABETH,26143,2018,2019-06-30,990,1978,PROVISION OF PRIMARY AND PREVENTIVE CARE SERVICES TO THE RURAL POPULATION OF WIRT AND JACKSON COUNTIES IN WEST VIRGINIA.,160.0,14.0,13492955.0,13492955.0,12271486.0,2988359.0,3494192.0,10191897.0,8524563.0,296191.0,16508.0,2487649.0,13417932.0,11476734.0,9252115.0,0.0,10301199.0,75023.0,794752.0,20645450.0,19664024.0,5705329.0,5297540.0,14940121.0,14366484.0,202000069349300650_public.xml,E39Z
610965156,PADUCAH SYMPHONY ORCHESTRA INC,KY,PADUCAH,42001,2018,2019-06-30,990,1980,TO BRING THE REWARDS OF GREAT MUSIC TO A GROWING AND DIVERSE REGIONAL AUDIENCE.,147.0,150.0,1099087.0,1099087.0,1171401.0,637624.0,724783.0,447845.0,433156.0,13618.0,0.0,32692.0,851307.0,872980.0,405641.0,58192.0,629855.0,247780.0,298421.0,1073608.0,802612.0,387350.0,368626.0,686258.0,433986.0,202000079349300035_public.xml,
592911669,Gulfside Hospice Inc,FL,Land OLakes,34639,2018,2019-06-30,990,1988,"Gulfside Hospice, Inc. provides quality hospice, palliative and home health care to those in need of these services regardless of race, color, creed, gender or national origin. The Organization provides extensive outreach, including screenings at local health fairs; and provides training, both in-house and to the community, on topics such as hospice care, alternative therapies, disease symptoms and prognosis, and death/dying.",382.0,250.0,36831454.0,35229855.0,29705154.0,1171354.0,420414.0,33284102.0,28627191.0,0.0,774399.0,,33687626.0,28652969.0,18718838.0,1210988.0,27520953.0,1542229.0,1052185.0,17733137.0,15259451.0,6766284.0,5834827.0,10966853.0,9424624.0,202000079349300110_public.xml,
135661832,Plan International USA Inc,RI,Warwick,028861099,2018,2019-06-30,990,1937,"See the Organization's Purpose Statement on Schedule O, Page 1",155.0,11.0,72471486.0,66727809.0,76137415.0,64765143.0,75624370.0,0.0,,1968248.0,-5582.0,28260873.0,64755747.0,73443762.0,14550608.0,5910820.0,47554562.0,1972062.0,2693653.0,49445934.0,45996338.0,9177554.0,7081465.0,40268380.0,38914873.0,202000079349300125_public.xml,Q330
620762198,EMORY VALLEY CENTER INC,TN,OAK RIDGE,37830,2018,2019-06-30,990,,"Emory Valley Center provides supports and services to individuals with developmental disabilities. Originally established as an adult day program, Emory Valley Center now provides a wide variety of supports and services including: Supported Living, Residential Habilitation, Semi-Independent Living, Facility Based and Community Based Day Services, Supported Employment, Case Management, Personal Assistance, Nursing Services, Early Intervention Services, Family Support Services and Transportation.",405.0,4.0,14270801.0,14249099.0,13371469.0,4694810.0,4190061.0,9384698.0,8779643.0,3683.0,165908.0,4490774.0,13866878.0,12997891.0,10616355.0,0.0,11672174.0,382221.0,373578.0,9321049.0,8836989.0,1581973.0,1480134.0,7739076.0,7356855.0,202000079349300135_public.xml,P82Z
222271831,ALBROOK SCHOOL,NJ,BASKING RIDGE,07920,2018,2019-06-30,990,1979,TO PROVIDE ELEMENTARY EDUCATION USING THE MONTESSORI METHODS AND PHILOSOPHY OF TEACHING,50.0,25.0,4127020.0,3057571.0,3026719.0,50538.0,124439.0,2853250.0,2761702.0,153783.0,0.0,,3253698.0,3245977.0,2349467.0,2997.0,2708905.0,-196127.0,-219258.0,7050674.0,7129671.0,634236.0,578047.0,6416438.0,6551624.0,202000079349300145_public.xml,B200
820352589,HOPE HOUSE INC,ID,MARSING,83639,2018,2019-04-30,990,1976,"TO PROVIDE A HOME FOR CHILDREN BETWEEN THE AGES OF SIX AND EIGHTEEN WHO ARE EMOTIONALLY IMPAIRED, DEVELOPMENTALLY DISABLED, AND/OR COME FROM DISRUPTED ADOPTIONS OR DYSFUNCTIONAL FAMILIES.",48.0,,1624396.0,1616786.0,1829787.0,1614961.0,1829787.0,0.0,,1825.0,0.0,515168.0,1708434.0,1761215.0,542237.0,0.0,1708434.0,-91648.0,68572.0,2435391.0,2527201.0,296.0,458.0,2435095.0,2526743.0,202000079349300205_public.xml,P730
010779327,ISAIAH'S PLACE,OH,TROY,45373,2018,2019-06-30,990,2002,THE ORGANIZATION PROVIDES PRIVATE FOSTER CARE SERVICES IN THE MIAMI VALLEY AREA.,25.0,,2219849.0,2219849.0,2837415.0,66481.0,41713.0,2151372.0,2791301.0,458.0,1538.0,,2645757.0,2716371.0,746883.0,6290.0,1770732.0,-425908.0,121044.0,383205.0,813762.0,122679.0,127328.0,260526.0,686434.0,202000079349300220_public.xml,
350868101,HUNTINGTON UNIVERSITY,IN,HUNTINGTON,46750,2018,2019-05-31,990,1897,HUNTINGTON UNIVERSITY IS A CHRIST- CENTERED INSTITUTION THAT EXISTS TO CARRY OUT THE MISSION OF CHRIST IN HIGHER EDUCATION THROUGH A CURRICULUM OF ACADEMIC EXCELLENCE.,970.0,600.0,51912504.0,41186506.0,41234375.0,6117852.0,7774466.0,34078561.0,32505014.0,990093.0,0.0,2250132.0,42079670.0,40022486.0,15544372.0,947449.0,36693350.0,-893164.0,1211889.0,83432705.0,85367284.0,18346393.0,18761940.0,65086312.0,66605344.0,202000079349300235_public.xml,B420
521307918,CHINESE CULTURE AND COMMUNITY SERVICE,MD,GAITHERSBURG,20877,2018,2019-07-31,990,1983,"PROVIDE CULTURAL, SOCIAL, SPORTS, AND EDUCATIONAL SERVICES AND SERVE FUNCTIONALLY AND/OR COGNITIVELY IMPAIRED ADULTS WITH A VARIETY OF HEALTH, SOCIAL AND OTHER RELATED SERVICES.",134.0,208.0,9229177.0,8753905.0,8700491.0,587864.0,457094.0,8105670.0,8126773.0,-12363.0,72734.0,444590.0,9361106.0,8908703.0,4703513.0,0.0,8429325.0,-607201.0,-208212.0,4794477.0,5465890.0,548204.0,626123.0,4246273.0,4839767.0,202000079349300240_public.xml,A230
741999641,CULLEN TRUST FOR HIGHER EDUCATION,TX,HOUSTON,77002,2018,2018-12-31,990,1978,SUPPORT INSTITUTIONS OF HIGHER EDUCATION.,0.0,9.0,13932995.0,4054503.0,16466422.0,0.0,0.0,0.0,0.0,3485562.0,568941.0,,3257191.0,2708040.0,0.0,0.0,2966667.0,797312.0,13758382.0,73308646.0,73063521.0,0.0,0.0,73308646.0,73063521.0,202000079349300245_public.xml,B120
742783048,WF ASSETS INC,TX,WACO,76710,2018,2019-03-31,990,1995,"WF ASSETS, INC. PROVIDES FINANCIAL SUPPORT FOR WACO FOUNDATION, A 501(C)(3) PUBLIC CHARITY.",0.0,10.0,2959633.0,1714158.0,1101750.0,2129410.0,1032475.0,0.0,0.0,-540831.0,125579.0,0.0,794030.0,51030.0,0.0,0.0,769789.0,920128.0,1050720.0,3778033.0,1322043.0,268.0,0.0,3777765.0,1322043.0,202000079349300300_public.xml,T70Z
112933851,ALTERNATIVES FOR CHILDREN,NY,EAST SETAUKET,11733,2018,2019-06-30,990,1988,TO PROVIDE QUALITY PROGRAMS FOR YOUNG CHILDREN WITH SPECIAL NEEDS.,439.0,6.0,18880468.0,18819658.0,17516756.0,180706.0,161703.0,18620208.0,17332888.0,4588.0,14156.0,79594.0,18831937.0,17535972.0,15441903.0,11884.0,17150213.0,-12279.0,-19216.0,12589448.0,10754838.0,9297504.0,7450615.0,3291944.0,3304223.0,202000079349300340_public.xml,
861050572,CAMPUS OF HUMAN SERVICES LLC,AZ,PHOENIX,85007,2018,2019-06-30,990,2005,USING THE POWER OF COLLABORATION TO END HOMELESSNESS.,0.0,200.0,3160265.0,2806328.0,2366550.0,2047672.0,1723104.0,644644.0,254780.0,157644.0,-43632.0,606307.0,2410195.0,2119314.0,0.0,108450.0,2088108.0,396133.0,247236.0,3936865.0,3800520.0,62630.0,143665.0,3874235.0,3656855.0,202000079349300345_public.xml,
460347989,ABILITY BUILDING SERVICES INC,SD,YANKTON,57078,2018,2019-06-30,990,,TO ENHANCE THE LIVES OF THE DEVELOPMENTALLY DISABLED,151.0,7.0,5696445.0,5691672.0,5571637.0,56708.0,62770.0,5632809.0,5503173.0,2155.0,0.0,52539.0,5560536.0,5590769.0,4710484.0,1615.0,5062900.0,131136.0,-19132.0,5238032.0,5140665.0,2897742.0,2931511.0,2340290.0,2209154.0,202000079349300465_public.xml,P820
810345779,WESTERN MONTANA AREA VI AGENCY,MT,POLSON,598602363,2018,2019-06-30,990,1976,"THE OLDER AMERICAN ACT INTENDS THAT THE AREA AGENCY ON AGING SHALL BE THE LEADER RELATIVE TO ALL AGING ISSUERS ON BEHALF OF ALL OLDER PERSONS IN THE PLANNING AND SERVICE AREA. THIS MEANS THAT THE AREA AGENCY SHALL PROACTIVELY CARRY OUT, UNDER THE LEADERSHIP AND DIRECTION OF THE STATE AGENCY, A WIDE RANGE OF FUNCTIONS RELATED TO ADVOCACY, PLANNING, COORDINATION, INTER-AGENCY LINKAGES, INFORMATION SHARING, BROKERING, MONITORING AND EVOLUTION, DESIGNED TO LEAD TO THE DEVELOPMENT OR ENHANCEMENT OF COMPREHENSIVE AND COORDINATED COMMUNITY BASED SYSTEMS IN, OR SERVING, EACH COMMUNITY IN THE PLANNING AND SERVICE AREA. THESE SYSTEMS SHALL BE DESIGNED TO ASSIST OLDER PERSON IN LEADING INDEPENDENT, MEANINGFUL AND DIGNIFIED LIVES IN THEIR OWN HOMES AND COMMUNITIES AS LONG AS POSSIBLE.",28.0,386.0,3113251.0,3113251.0,1762309.0,3108769.0,1757076.0,2150.0,3877.0,2332.0,0.0,1485814.0,2908362.0,1736404.0,804218.0,0.0,2744737.0,204889.0,25905.0,1135928.0,875557.0,332487.0,277005.0,803441.0,598552.0,202000079349300470_public.xml,
251340370,GROVE CITY MEDICAL CENTER,PA,GROVE CITY,16127,2018,2019-06-30,990,1978,"Our mission as a community hospital is to provide caring, compassionate and quality health services to you, our client. Based on a relationship of mutual trust, we commit ourselves to respond to the needs of all we serve and strive for continual improvement in the care we provide.",479.0,150.0,46014115.0,45733089.0,47094611.0,0.0,18729.0,42718734.0,43588663.0,2407882.0,606473.0,,45864528.0,47043391.0,20662991.0,0.0,35903746.0,-131439.0,51220.0,46258498.0,47459691.0,5872354.0,5366887.0,40386144.0,42092804.0,202000079349300500_public.xml,E21
263963904,SUSTAINABLE ENERGY UTILITY INC,DE,DOVER,19904,2018,2019-06-30,990,2008,TO SERVE THE SUSTAINABLE ENERGY NEEDS OF ALL DELAWARE ENERGY CONSUMERS USING ALL FUELS,4.0,10.0,18676201.0,18676201.0,15564000.0,11508181.0,9827953.0,5719539.0,5113754.0,1448481.0,0.0,11508181.0,12945197.0,16658169.0,387700.0,0.0,12133930.0,5731004.0,-1094169.0,132314464.0,111329506.0,75232727.0,59978773.0,57081737.0,51350733.0,202000079349300505_public.xml,C35
416081794,THOMAS IRVINE DODGE NATURE CENTER,MN,West St Paul,55118,2018,2019-08-31,990,1967,Providing exceptional experiences in nature through environmental education.,57.0,299.0,3648106.0,3434375.0,2879859.0,1442166.0,1003387.0,1290818.0,1178954.0,653803.0,47588.0,,2757424.0,2629660.0,1775547.0,316869.0,2112632.0,676951.0,250199.0,21776126.0,21255952.0,383986.0,283185.0,21392140.0,20972767.0,202000079349300535_public.xml,
042714991,CENTRO LAS AMERICAS INC,MA,WORCESTER,01608,2018,2019-06-30,990,1977,"TO PROVIDE STRENGTH AND UNITY WITHIN THE LATINO COMMUNITY OF WORCESTER, MASSACHUSETTS THROUGH SERVICES THAT ADDRESS THE SOCIAL, ECONOMIC, CULTURAL, RECREATIONAL, EDUCATIONAL, AND POLITICAL PROBLEMS WITHIN THE CITY.",101.0,15.0,7573631.0,7573631.0,7355719.0,59467.0,49734.0,7502564.0,7305924.0,67.0,11533.0,,7555182.0,7442335.0,3804847.0,109751.0,6444755.0,18449.0,-86616.0,1712037.0,1788938.0,632655.0,1036563.0,1079382.0,752375.0,202000079349300545_public.xml,P200
410990340,COMMUNITY EMERGENCY ASSISTANCE,MN,BROOKLYN CENTER,55429,2018,2019-06-30,990,1971,"CEAP MOBILIZES RESOURCES, SHARES ABUNDANCE AND NOURISHES NEIGHBORS TO CREATE AND CELEBRATE A HEALTHIER, STRONGER AND CONNECTED COMMUNITY.",25.0,2652.0,3802390.0,3802390.0,4031914.0,3504855.0,3717926.0,224941.0,224229.0,4231.0,68363.0,419668.0,4026455.0,4164510.0,930159.0,215384.0,3495210.0,-224065.0,-132596.0,4636794.0,26583416.0,309892.0,24675339.0,4326902.0,1908077.0,202000079349300565_public.xml,P400
460449059,Community Coordinated Transportation Sys,SD,Pierre,57501,2018,2019-09-30,990,2001,Provide transportation to the general public.,123.0,,5665276.0,5663011.0,5082450.0,3095658.0,3228118.0,2442264.0,1653794.0,25792.0,99297.0,2602874.0,5206840.0,5296260.0,3337409.0,0.0,4587325.0,456171.0,-213810.0,1669504.0,1247508.0,295175.0,329350.0,1374329.0,918158.0,202000079349300585_public.xml,W40
233087315,BRANDYWINE HEALTH FOUNDATION,PA,COATESVILLE,19320,2018,2019-06-30,990,2001,"TO IMPROVE THE HEALTH AND WELL-BEING OF PEOPLE WHO LIVE AND WORK IN THE GREATER COATESVILLE AREA BY FOSTERING COMMUNITY PARTNERSHIPS, BY PROVIDING CAPACITY BUILDING SUPPORT AND BY MAKING GRANTS TO PROMOTE HEALTH EQUITY, HEALTHY YOUTH AND A HEALTHY COMMUNITY.",5.0,317.0,6215632.0,2478646.0,1852354.0,482248.0,600528.0,0.0,0.0,1908593.0,87805.0,,1914284.0,1709688.0,574068.0,263911.0,1311776.0,564362.0,142666.0,30569362.0,30527252.0,1095658.0,1193268.0,29473704.0,29333984.0,202000079349300630_public.xml,B82
581994417,RED MOUNTAIN THEATRE COMPANY INC,AL,BIRMINGHAM,35233,2018,2019-08-31,990,1992,"TO PROVIDE HIGH QUALITY MUSICAL SHOWS AND THEATER ARTS EDUCATIONAL OPPORTUNITIES TO ASPIRING YOUNG ARTISITS. UTILIZING PROFESSIONAL TALENT, BOTH LOCAL AND NATIONAL, ASPIRING YOUNG PERFORMERS ARE NUTURED THROUGH THE PRODUCTION OF MUSICAL SHOWS AND WORKSHOPS.",38.0,0.0,12982341.0,12728999.0,3881307.0,10847308.0,1826085.0,1933515.0,2019896.0,10952.0,-62776.0,,4144615.0,3816747.0,1481201.0,130658.0,3494615.0,8584384.0,64560.0,11853952.0,3172968.0,927084.0,830484.0,10926868.0,2342484.0,202000079349300640_public.xml,A600
201195290,MEMPHIS BUSINESS ACADEMY INC,TN,MEMPHIS,38127,2018,2019-06-30,990,2005,SEE SCHEDULE O,197.0,5.0,17151083.0,16716492.0,14294578.0,16597338.0,14118185.0,0.0,,67.0,119087.0,16046237.0,15013220.0,13595493.0,10451879.0,0.0,12844469.0,1703272.0,699085.0,21257252.0,15667725.0,12629732.0,8743477.0,8627520.0,6924248.0,202000079349300710_public.xml,B29
133042012,Geel Community Services Inc,NY,Bronx,10468,2017,2018-06-30,990,1980,"TO PROVIDE HOUSING AND SUPPORTIVE SERVICES FOR FORMERLY HOMELESS, MENTALLY ILL AND/OR LOW INCOME individuals.",75.0,8.0,9081126.0,9081126.0,6224795.0,1659527.0,0.0,6847858.0,5752101.0,37740.0,536001.0,,6566305.0,6119884.0,3173311.0,0.0,5329830.0,2514821.0,104911.0,6253068.0,3441870.0,1377103.0,1080726.0,4875965.0,2361144.0,202000079349300730_public.xml,F320
311609551,KELLY YOUTH SERVICES INC,OH,CINCINNATI,45231,2018,2019-06-30,990,1998,"TO OPERATE GROUP HOMES AND PROVIDE INDEPENDENT LIVING ARRANGEMENTS TO DISADVANTAGED YOUTH. TO EDUCATE, STIMULATE AND MOTIVATE YOUTH INTO BECOMING SELF SUFFICIENT, RESPONSIBLE AND EMPLOYABLE CITIZENS IN THE COMMUNITY. THE ORGANIZATION IS DESIGNED TO ASSIST IN THE REHABILITATION OF ITS RESIDENTS BY PROVIDING A STRUCTURED DISCIPLINED ENVIRONMENT BASE UPON BASIC BEHAVIORAL PRINCIPALS, EDUCATIONAL STANDARDS, COUNSELING, TREATMENT CARE AND ROLE MODELING.",37.0,,1882249.0,1882249.0,2027238.0,0.0,,1882249.0,2027238.0,0.0,0.0,,1838312.0,1907522.0,1048494.0,0.0,1605194.0,43937.0,119716.0,712613.0,471299.0,413273.0,210095.0,299340.0,261204.0,202000079349300740_public.xml,L80
134068484,MATTAN BASSETER INC,NY,BROOKLYN,11223,2018,2019-06-30,990,1999,"BASED UPON NEED, AID GIVEN TO FAMILIES WHO COULD NOT AFFORD YESHIVA TUITION.",1.0,,1065926.0,1046261.0,944068.0,1065797.0,963629.0,0.0,,129.0,-19665.0,,957158.0,667484.0,4526.0,62580.0,867229.0,89103.0,276584.0,1815144.0,1726041.0,0.0,,1815144.0,1726041.0,202000079349300800_public.xml,B82
431145808,THE ST LOUIS CHILDREN'S CHOIRS,MO,SAINT LOUIS,63131,2018,2019-08-31,990,1978,SHAPING YOUNG LIVES THROUGH MUSICAL EXCELLENCE.,44.0,,1273312.0,1257809.0,1265436.0,450050.0,492911.0,690727.0,768472.0,7268.0,109764.0,,1099093.0,1171792.0,566488.0,110667.0,847190.0,158716.0,93644.0,1163180.0,995237.0,270813.0,261586.0,892367.0,733651.0,202000079349300810_public.xml,
